"document","annotation__start","annotation__end","annotation__label","annotation__text"
"The house plan has two bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. To be specific, floor of bedroom1 is Quartz and White, and wall is Wall_Cloth and Yellow. bedroom1 is in southwest with 17 square meters. In addition, bedroom2 wall is White Bamboo_Vine as well as uses Wood_color Ceramics for floor. bedroom2 has 12 squares in north. washroom1 has Blue Wall_Cloth wall, and has Wood_color Jade floor. washroom1 has 5 squares in west. Besides, washroom2 has 3 squares in west. floor of washroom2 is Bamboo_Vine and Gray while wall is Blue Wood_Veneer. In addition, balcony1 is in south with 5 square meters. balcony1 floor is Earth_color Pure_Color_Wood as well as wall is Pure_Color_Wood and White. balcony2 wall is Orange Stone_Brick, and floor is Log and White. balcony2 covers 3 square meters located in north. Besides, wall of livingroom1 is Marble and Pink while floor is Orange Wood_Veneer. livingroom1 has 36 squares in center. kitchen1 has Gray Granite wall as well as floor is White Wall_Cloth. kitchen1 has 7 squares in northeast. bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected. bedroom1 is adjacent to balcony1, washroom1. bedroom2 is next to washroom2, balcony2. kitchen1 is adjacent to balcony2. washroom2 and washroom1 are connected. ","19","22","QUANT","two"
"","23","31","ROOM","bedrooms"
"","33","36","QUANT","two"
"","37","46","ROOM","washrooms"
"","48","51","QUANT","two"
"","52","60","ROOM","balconys"
"","62","65","QUANT","one"
"","66","76","ROOM","livingroom"
"","82","85","QUANT","one"
"","86","93","ROOM","kitchen"
"","120","128","ROOM","bedroom1"
"","200","209","DIRECTION","southwest"
"","215","231","DIMENSION","17 square meters"
"","246","254","ROOM","bedroom2"
"","341","351","DIMENSION","12 squares"
"","355","360","DIRECTION","north"
"","362","371","ROOM","washroom1"
"","443","452","DIMENSION","5 squares"
"","456","460","DIRECTION","west"
"","471","480","ROOM","washroom2"
"","485","494","DIMENSION","3 squares"
"","498","502","DIRECTION","west"
"","592","600","ROOM","balcony1"
"","607","612","DIRECTION","south"
"","618","633","DIMENSION","5 square meters"
"","727","735","ROOM","balcony2"
"","808","823","DIMENSION","3 square meters"
"","835","840","DIRECTION","north"
"","859","870","ROOM","livingroom1"
"","941","951","DIMENSION","36 squares"
"","963","971","ROOM","kitchen1"
"","1045","1054","DIMENSION","7 squares"
"","1058","1067","DIRECTION","northeast"
"","1069","1169","CONNECTION","bedroom1, bedroom2, kitchen1, balcony1, washroom1, washroom2, balcony2 and livingroom1 are connected"
"","1171","1214","CONNECTION","bedroom1 is adjacent to balcony1, washroom1"
"","1216","1255","CONNECTION","bedroom2 is next to washroom2, balcony2"
"","1257","1289","CONNECTION","kitchen1 is adjacent to balcony2"
"","1291","1328","CONNECTION","washroom2 and washroom1 are connected"
"House has one washroom, one livingroom, one study, two bedrooms, one kitchen, and one balcony. In practice, washroom1 has 5 squares in east. washroom1 wall is Green Pure_Color_Wood as well as floor is Pink Mosaic. livingroom1 uses Orange Jade for floor while has Blue Wallpaper wall. livingroom1 is in center with 31 square meters. Additionally, study1 has 9 squares in northwest. study1 floor is Yellow Rock_Plate as well as wall is Gray Stone_Brick. bedroom1 is in southeast with 13 square meters. bedroom1 uses Yellow Wall_Cloth for floor while has Blue Wood_Grain wall. bedroom2 has Yellow Ceramic_Tile floor, and wall is Wood_color Wood_Grain. bedroom2 covers 11 square meters located in west. Besides, kitchen1 covers 6 square meters located in northeast. kitchen1 has Black Quartz floor while wall is Coating and Earth_color. balcony1 uses Yellow Ceramic_Tile for floor, and wall is Cement_Board and Blue. balcony1 has 7 squares in south. bedroom1, bedroom2, study1, balcony1, kitchen1, washroom1 and livingroom1 are connected. bedroom1 is next to balcony1, washroom1. bedroom2 is adjacent to study1. kitchen1 is next to washroom1. ","10","13","QUANT","one"
"","14","22","ROOM","washroom"
"","24","27","QUANT","one"
"","28","38","ROOM","livingroom"
"","40","43","QUANT","one"
"","44","49","ROOM","study"
"","51","54","QUANT","two"
"","55","63","ROOM","bedrooms"
"","65","68","QUANT","one"
"","69","76","ROOM","kitchen"
"","82","85","QUANT","one"
"","86","93","ROOM","balcony"
"","108","117","ROOM","washroom1"
"","122","131","DIMENSION","5 squares"
"","135","139","DIRECTION","east"
"","214","225","ROOM","livingroom1"
"","314","330","DIMENSION","31 square meters"
"","346","352","ROOM","study1"
"","357","366","DIMENSION","9 squares"
"","370","379","DIRECTION","northwest"
"","452","460","ROOM","bedroom1"
"","467","476","DIRECTION","southeast"
"","482","498","DIMENSION","13 square meters"
"","500","508","ROOM","bedroom1"
"","574","582","ROOM","bedroom2"
"","665","681","DIMENSION","11 square meters"
"","693","697","DIRECTION","west"
"","708","716","ROOM","kitchen1"
"","724","739","ROOM","6 square meters"
"","751","760","DIRECTION","northeast"
"","833","841","ROOM","balcony1"
"","913","921","ROOM","balcony1"
"","926","935","DIMENSION","7 squares"
"","939","944","DIRECTION","south"
"","946","1033","CONNECTION","bedroom1, bedroom2, study1, balcony1, kitchen1, washroom1 and livingroom1 are connected"
"","1035","1074","CONNECTION","bedroom1 is next to balcony1, washroom1"
"","1076","1137","CONNECTION","bedroom2 is adjacent to study1. kitchen1 is next to washroom1"
"House has three bedrooms, one washroom, one balcony, one livingroom, and one kitchen. Specifically, bedroom1 is in northwest with 15 square meters. bedroom1 has Blue Granite wall as well as uses Gray Ceramic_Tile for floor. Additionally, bedroom2 wall is Yellow Coating while uses Blue Log for floor. bedroom2 is in northeast with 11 square meters. Besides, bedroom3 covers 9 square meters located in southeast. bedroom3 uses Orange Bamboo_Vine for floor as well as has Black Rock_Plate wall. washroom1 covers 4 square meters located in north. floor of washroom1 is Bamboo_Vine and Earth_color while wall is Orange Wood_Grain. balcony1 uses Green Log for floor as well as wall is Wallpaper and Wood_color. balcony1 covers 7 square meters located in west. livingroom1 wall is Gray Pure_Color_Wood, and has Wood_color Painted_Wood floor. livingroom1 has 37 squares in center. Additionally, wall of kitchen1 is Wood_Grain and Black as well as floor is Yellow Log. kitchen1 is in southeast with 7 square meters. livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, washroom1. bedroom1 is next to balcony1, washroom1. bedroom2 is adjacent to washroom1. kitchen1 and bedroom3 are connected. ","10","15","QUANT","three"
"","16","24","ROOM","bedrooms"
"","26","29","QUANT","one"
"","30","38","ROOM","washroom"
"","40","43","QUANT","one"
"","44","51","ROOM","balcony"
"","53","56","QUANT","one"
"","57","67","ROOM","livingroom"
"","73","76","QUANT","one"
"","77","84","ROOM","kitchen"
"","100","108","ROOM","bedroom1"
"","115","124","DIRECTION","northwest"
"","130","146","DIMENSION","15 square meters"
"","148","156","ROOM","bedroom1"
"","238","246","ROOM","bedroom2"
"","316","325","DIRECTION","northeast"
"","331","340","DIMENSION","11 square"
"","358","366","ROOM","bedroom3"
"","374","389","DIMENSION","9 square meters"
"","401","410","DIRECTION","southeast"
"","493","502","ROOM","washroom1"
"","510","525","DIMENSION","4 square meters"
"","537","542","DIRECTION","north"
"","627","635","ROOM","balcony1"
"","715","737","DIMENSION","covers 7 square meters"
"","749","753","DIRECTION","west"
"","755","766","ROOM","livingroom1"
"","852","862","DIMENSION","37 squares"
"","961","969","ROOM","kitchen1"
"","976","985","DIRECTION","southeast"
"","991","1006","DIMENSION","7 square meters"
"","1008","1094","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, washroom1"
"","1096","1135","CONNECTION","bedroom1 is next to balcony1, washroom1"
"","1137","1170","CONNECTION","bedroom2 is adjacent to washroom1"
"","1172","1207","CONNECTION","kitchen1 and bedroom3 are connected"
"Building layout contains two bedrooms, one washroom, one balcony, one livingroom, and one kitchen. In practice, bedroom1 uses Purple Rock_Plate for floor, and wall is Green Quartz. bedroom1 has 15 squares in southeast. Moreover, bedroom2 covers 13 square meters located in west. floor of bedroom2 is Wall_Cloth and Green as well as wall is Wood_Grain and Black. washroom1 has 4 squares in south. washroom1 has White Ceramics wall, and floor is Orange Stone_Brick. balcony1 is in northwest with 4 square meters. floor of balcony1 is Coating and Purple as well as wall is Quartz and Red. In addition, livingroom1 wall is Orange Quartz while has Black Painted_Wood floor. livingroom1 covers 31 square meters located in center. kitchen1 covers 6 square meters located in north. kitchen1 has Black Wall_Cloth wall as well as floor is Wood_Veneer and Red. livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, washroom1, balcony1. washroom1 and bedroom1 are connected. bedroom2 is adjacent to washroom1. ","25","28","QUANT","two"
"","29","37","ROOM","bedrooms"
"","39","42","QUANT","one"
"","43","51","ROOM","washroom"
"","53","56","QUANT","one"
"","57","64","ROOM","balcony"
"","66","69","QUANT","one"
"","70","80","ROOM","livingroom"
"","86","89","QUANT","one"
"","90","97","ROOM","kitchen"
"","112","120","ROOM","bedroom1"
"","194","204","DIMENSION","15 squares"
"","208","217","DIRECTION","southeast"
"","229","237","ROOM","bedroom2"
"","245","261","DIMENSION","13 square meters"
"","273","277","DIRECTION","west"
"","362","371","ROOM","washroom1"
"","376","385","DIMENSION","4 squares"
"","389","394","DIRECTION","south"
"","464","472","ROOM","balcony1"
"","479","488","DIRECTION","northwest"
